read_code,icd9_code,icd9_code_def
A....,001-139,2
A0...,001-009,2
A00..,001,1
A000.,0010,1
A001.,0011,1
A00z.,0019,1
A01..,002,1
A010.,0020,1
A011.,0021,1
A012.,0022,1
A013.,0023,1
A01z.,0029,1
A02..,003,1
A020.,0030,1
A021.,0031,1
A022.,0032,1
A0220,0032,1
A0221,0032D 3207A,7
A0222,0032D 4848A,7
A0223,0032D 7113A,7
A0224,0032D 7302A,7
A022z,0032,1
A02y.,0038,1
A02z.,0039,1
A03..,004,1
A030.,0040,1
A031.,0041,1
A032.,0042,1
A033.,0043,1
A03y.,0048,1
A03z.,0049,1
A04..,005,1
A040.,0050,1
A041.,0051,1
A042.,0052,1
A043.,0053,1
A044.,0054,1
A04y.,0058,1
A04y0,0058,1
A04z.,0059,1
A05..,006,1
A050.,0060,1
A051.,0061,1
A052.,0062,1
A053.,0063,1
A054.,0064,1
A055.,0065,1
A056.,0066,1
A05y.,0068,1
A05y0,0068,1
A05y1,0068,1
A05y2,0068,1
A05yz,0068,1
A05z.,0069,1
A06..,007,1
A060.,0070,1
A061.,0071,1
A062.,0072,1
A063.,0073,1
A064.,0078,1
A06y.,0078,1
A06z.,0079,1
A07..,008,1
A070.,0080,1
A0700,0080,1
A0701,0080,1
A0702,0080,1
A0703,0080,1
A071.,0081,1
A072.,0082,1
A073.,0083,1
A0730,0083,1
A0731,0083,1
A073z,0083,1
A074.,0084,1
A0740,0084,1
A0741,0084,1
A0743,0084,1
A0744,0084,1
A0745,0084,1
A074y,0084,1
A074z,0084,1
A075.,0085,1
A076.,0086,1
A0760,0086,1
A0761,0086,1
A0762,0086,1
A076z,0086,1
A07y.,0088,1
A07y0,0088,1
A07y1,0088,1
A07z.,008,1
A08..,009,1
A080.,0090,1
A0801,0090,1
A0802,0090,1
A0803,0090,1
A0804,0090,1
A0805,0090,1
A080z,0090,1
A081.,0091,1
A0810,0091,1
A0811,0091,1
A0812,0091,1
A081z,0091,1
A082.,0092,1
A0820,0092,1
A0821,0092,1
A082z,0092,1
A083.,0093,1
A08z.,009,1
A0y..,001-009,2
A0z..,001-009,2
A1...,010-018,2
A10..,010,1
A100.,0100,1
A101.,0101,1
A10y.,0108,1
A10z.,0109,1
A11..,011,1
A110.,0110,1
A111.,0111,1
A112.,0112,1
A113.,0113,1
A114.,0114,1
A115.,0115,1
A116.,0116,1
A117.,0117,1
A11y.,0118,1
A11z.,0119,1
A12..,012,1
A120.,0120,1
A1200,0120,1
A1201,0120,1
A1202,0120,1
A120z,0120,1
A121.,0121,1
A1210,0121,1
A1211,0121,1
A1212,0121,1
A121z,0121,1
A122.,0122,1
A1220,0122,1
A1221,0122,1
A122z,0122,1
A123.,0123,1
A124.,011-012,2
A1240,0119,1
A1241,0119,1
A1242,0119,1
A1243,0119,1
A1246,0120,1
A1247,0100,1
A125.,0119,1
A1250,0119,1
A1251,0119,1
A1252,0100,1
A125X,0119,1
A12y.,0128,1
A12y0,0128,1
A12y1,0128,1
A12y2,0128,1
A12y3,0128,1
A12yz,0128,1
