read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
123..,Z831,D,C,M,0,0
123..,Z830,A,C,M,0,0
1231.,Z831,G,C,M,0,0
1232.,Z831,G,C,M,0,0
1233.,Z831,G,C,M,0,0
1244.,Z848,G,C,M,0,0
1246.,Z848,G,C,M,0,0
1247.,Z848,G,C,M,0,0
1248.,Z806,G,C,M,0,0
124C.,Z804,G,C,M,0,0
124D.,Z848,G,C,M,0,0
124E.,Z848,G,C,M,0,0
125..,Z834,G,C,M,0,0
1251.,Z834,G,C,M,0,0
1252.,Z833,G,C,M,0,0
126..,Z834,G,C,M,0,0
1261.,Z834,G,C,M,0,0
1263.,Z826,G,C,M,0,0
1264.,Z834,G,C,M,0,0
1265.,Z834,G,C,M,0,0
1266.,Z834,G,C,M,0,0
1267.,Z834,G,C,M,0,0
1268.,Z826,G,C,M,0,0
1269.,Z834,G,C,M,0,0
127..,Z832,G,C,M,0,0
1272.,Z832,G,C,M,0,0
1273.,Z832,G,C,M,0,0
1274.,Z832,G,C,M,0,0
1275.,Z832,G,C,M,0,0
128..,Z818,G,C,M,0,0
1281.,Z818,G,C,M,0,0
1283.,Z813,G,C,M,0,0
1284.,Z818,G,C,M,0,0
1285.,Z818,G,C,M,0,0
1287.,Z818,G,C,M,0,0
1288.,Z818,G,C,M,0,0
1289.,Z818,G,C,M,0,0
1291.,Z820,G,C,M,0,0
1292.,Z820,G,C,M,0,0
1293.,Z820,G,C,M,0,0
1294.,Z820,G,C,M,0,0
1295.,Z820,G,C,M,0,0
1296.,Z820,G,C,M,0,0
1297.,Z820,G,C,M,0,0
1298.,Z820,G,C,M,0,0
1299.,Z820,G,C,M,0,0
12A..,Z835,D,C,M,0,0
12A..,Z808,R,C,M,0,0
12A..,Z821,R,C,M,0,0
12A1.,Z835,G,C,M,0,0
12A2.,Z835,G,C,M,0,0
12A4.,Z835,G,C,M,0,0
12AZ.,Z835,G,C,M,0,0
12B..,Z835,G,C,M,0,0
12B1.,Z822,G,C,M,0,0
12B2.,Z835,G,C,M,0,0
