read_code,icd10_code,icd10_code_def
A0...,A00-A09,2
A00..,A00,1
A000.,A000,1
A001.,A001,1
A00z.,A009,1
A01..,A01,1
A010.,A010,1
A011.,A011,1
A012.,A012,1
A013.,A013,1
A01z.,A014,1
A02..,A02,1
A020.,A020,1
A021.,A021,1
A022.,A022,1
A0220,A022,1
A0221,A022D G01XA,7
A0222,A022D J170A,7
A0223,A022D M013A,7
A0224,A022D M902A,7
A022z,A022,1
A023.,A021,1
A02y.,A028,1
A02z.,A029,1
A03..,A03,1
A030.,A030,1
A031.,A031,1
A032.,A032,1
A033.,A033,1
A03y.,A038,1
A03z.,A039,1
A04..,A05,1
A040.,A050,1
A041.,A051,1
A042.,A052,1
A043.,A048,1
A044.,A053,1
A04y.,A058,1
A04y0,A054,1
A04z.,A059,1
A05..,A06,1
A050.,A060,1
A051.,A061,1
A052.,A062,1
A053.,A064D K770A,7
A054.,A065D J998A,7
A055.,A066D G07XA,7
A056.,A067,1
A05y.,A068,1
A05y0,A068,1
A05y1,A068D N512A,7
A05y2,A063,1
A05yz,A068,1
A05z.,A069,1
A06..,A07,1
A060.,A070,1
A061.,A071,1
A062.,A073,1
A063.,A078,1
A064.,A072,1
A06y.,A078,1
A06z.,A079,1
A07..,A085,1
A070.,A044,1
A0700,A040,1
A0701,A041,1
A0702,A042,1
A0703,A043,1
A071.,A020,1
A072.,A048,1
A073.,A048,1
A0730,A048,1
A0731,A048,1
A073z,A048,1
A074.,A048,1
A0740,A048,1
A0741,A048,1
A0743,A045,1
A0744,A046,1
A0745,A048,1
A074y,A085,1
A074z,A085,1
A075.,A049,1
A076.,A083,1
A0760,A082,1
A0761,A083,1
A0762,A080,1
A0763,A081,1
A076z,A083,1
A07y.,A085,1
A07y0,A084,1
A07y1,A083,1
A07z.,A085,1
A08..,A09,1
A080.,A090,1
A0801,A090,1
A0802,A090,1
A0803,A090,1
A0804,A090,1
A0805,A090,1
A080z,A090,1
A081.,A090,1
A0810,A090,1
A0811,A090,1
A0812,A090,1
A081z,A090,1
A082.,A090,1
A0820,A090,1
A0821,A090,1
A082z,A090,1
A083.,A090,1
A08z.,A090,1
A0y..,A085,1
A0z..,A090,1
A1...,A169,1
A10..,A167,1
A100.,A167,1
A101.,A167,1
A10y.,A167,1
A10z.,A167,1
A11..,A162,1
A110.,A162,1
A111.,A162,1
A112.,A162,1
A113.,A164,1
A114.,A162,1
A115.,A162,1
A116.,A162,1
A117.,A162,1
A11y.,A162,1
A11z.,A162,1
A12..,A165,1
A120.,A165,1
A1200,A165,1
A1201,A165,1
A1202,A165,1
A120z,A165,1
A121.,A163,1
A1210,A163,1
A1211,A163,1
A1212,A163,1
A121z,A163,1
A122.,A164,1
A1220,A164,1
A1221,A164,1
A122z,A164,1
A123.,A164,1
A124.,A15,1
A1240,A150,1
A1241,A151,1
A1242,A152,1
A1243,A153,1
A1244,A154,1
A1245,A155,1
A1246,A156,1
A1247,A157,1
A125.,A16,1
A1250,A160,1
A1251,A161,1
A1252,A167,1
A125X,A169,1
A12y.,A168,1
A12y0,A168,1
A12y1,A168,1
A12y2,A168,1
A12y3,A168,1
A12yz,A168,1
A13..,A170D-A179D,2
A130.,A170D G01XA,7
A1300,A170D G01XA,7
A1301,A170D G01XA,7
A1302,A170D G01XA,7
A1303,A178D G050A,7
A130z,A170D G01XA,7
A131.,A171D G07XA,7
A132.,A178D G07XA,7
A133.,A178D G07XA,7
A134.,A178D G07XA,7
A135.,A178D G07XA,7
A136.,A178D G050A,7
A1360,A178D G050A,7
A1361,A178D G050A,7
A136z,A178D G050A,7
A13y.,A178D,8
A13z.,A179D G998A,7
A14..,A183,1
A140.,A183D K673A,7
A14y.,A183D,8
A14y0,A183D K930A,7
A14y1,A183D K930A,7
A14y2,A183D K930A,7
A14y3,A183D,8
A14y4,A183D K930A,7
A14y5,A183,1
A14yz,A183D,8
A14z.,A183D,8
A15..,A180D,8
A150.,A180D M490A,7
A151.,A180D M011A,7
A152.,A180D M011A,7
A153.,A180D M900A,7
A154.,A180D H750A,7
A15x.,A180D M900A,7
A15y.,A180D M011A,7
A15z.,A180D,8
A16..,A181,1
A160.,A181D N291A,7
A1600,A181D N291A,7
A1601,A181D N291A,7
A1602,A181D N291A,7
A160z,A181D N291A,7
A161.,A181D N330A,7
A162.,A181D N291A,7
A163.,A181,1
A164.,A181D N511A,7
A165.,A181D N518A,7
A1650,A181D N510A,7
A1651,A181D N518A,7
A1652,A181D N511A,7
A165z,A181D N518A,7
A166.,A181D N741A,7
A1660,A181D N741A,7
A1661,A181D N741A,7
A166z,A181D N741A,7
A167.,A181,1
A1670,A181D N740A,7
A1671,A181D N741A,7
A167z,A181,1
A168.,A181,1
A16z.,A181,1
A17..,A18,1
A170.,A184,1
A1700,A184,1
A1701,A184,1
A1702,A184,1
A1703,A184,1
A1704,A184,1
A1705,A184,1
A1706,A184,1
A1707,A184,1
A1708,A184,1
A170z,A184,1
A171.,A184,1
A1710,A184,1
A1711,A184,1
A171z,A184,1
A172.,A182,1
A1720,A182,1
A1721,A182,1
A1722,A182,1
A172z,A182,1
A173.,A185,1
A1730,A185D H320A,7
A1731,A185D H190A,7
A1732,A185D H192A,7
A1733,A185D H220A,7
A1734,A185D H192A,7
A173z,A185,1
A174.,A186,1
A175.,A188D E350A,7
A176.,A187D E351A,7
A177.,A188D D77XA,7
A178.,A188D K230A,7
A17y.,A188,1
A17y0,A188D I398A,7
A17y1,A188D I410A,7
A17y2,A188D I320A,7
A17y3,A188D K938A,7
A17y4,A188D K770A,7
A17yz,A188,1
A17z.,A188,1
A18..,A190-A199,2
A180.,A192,1
A1800,A190,1
A1801,A191,1
A18y.,A198,1
A18z.,A199,1
A19..,A199,1
A1A..,A169,1
A1A0.,A169,1
A1y..,A169,1
A1z..,A169,1
A2...,A20-A28,2
A20..,A200-A209,2
A200.,A200,1
A201.,A201,1
A202.,A207,1
A203.,A202,1
A204.,A202,1
A205.,A202,1
A206.,A203D,8
A20y.,A208,1
A20y0,A208,1
A20y1,A208,1
A20y2,A208,1
A20yz,A208,1
A20z.,A209,1
A21..,A210-A219,2
A210.,A210,1
A211.,A213,1
A2110,A219,1
A2111,A213,1
A2112,A217,1
A211z,A213,1
A212.,A212,1
A213.,A211,1
A21y.,A218,1
A21y0,A217,1
A21y1,A210,1
A21yz,A218,1
A21z.,A219,1
A22..,A220-A229,2
A220.,A220,1
A221.,A221D J170A,7
A222.,A222D K938A,7
A223.,A227,1
A224.,A227,1
A22y.,A228,1
A22z.,A229,1
A23..,A230-A239,2
A230.,A230,1
A231.,A231,1
A232.,A232,1
A234.,A233,1
A23y.,A238,1
A23z.,A239,1
A24..,A240,1
A25..,A241-A244,2
A250.,A241,1
A251.,A242,1
A26..,A250-A259,2
A260.,A250,1
A261.,A251,1
A26z.,A259,1
A27..,A280-A289,2
A270.,A329,1
A2700,A329,1
A2701,A327,1
A2702,A320,1
A2703,A328D,8
A2704,A328D,8
A2705,A328,1
A2706,A327,1
A270z,A329,1
A271.,A269,1
A2710,A269,1
A2711,A267,1
A2712,A260,1
A2713,A267,1
A271z,A269,1
A272.,A280,1
A2720,A280,1
A2721,A280,1
A272z,A280,1
A273.,A282,1
A27y.,A288,1
A27z.,A288,1
A2y..,A288,1
A2z..,A289,1
A3...,A30-A49,2
A30..,A300-A309,2
A300.,A305,1
A3000,A304,1
A301.,A301,1
A3010,A302,1
A302.,A300,1
A303.,A303,1
A30y.,A308,1
A30z.,A309,1
A31..,A319,1
A310.,A310,1
A3100,A310,1
A311.,A311,1
A31y.,A318,1
A31z.,A319,1
A32..,A369,1
A320.,A360,1
A321.,A361,1
A322.,A368,1
A323.,A362,1
A32y.,A368,1
A32y0,A368D H131A,7
A32y1,A368D I410A,7
A32y2,A368D K678A,7
A32y3,A368D N338A,7
A32y4,A363,1
A32y5,A368,1
A32yz,A368,1
A32z.,A369,1
A33..,A370-A379,2
A330.,A370,1
A331.,A371,1
A33y.,A378,1
A33y0,A378,1
A33yz,A378,1
A33z.,A379,1
A34..,"J020,A38X",3
A340.,J020,1
A3400,J020,1
A3401,J040,1
A3402,J020,1
A3403,J030,1
A340z,J020,1
A341.,A38X,1
A34z.,J020,1
A35..,A46X,1
A36..,A39,1
A360.,A390D G01XA,7
A361.,A398D G050A,7
A362.,A394,1
A3620,A392,1
A3621,A393,1
A363.,A391D E351A,7
A364.,A395D I520A,7
A3640,A395D I520A,7
A3641,A395D I320A,7
A3642,A395D I398A,7
A3643,A395D I410A,7
A364z,A395D I520A,7
A365.,A390D G01XA+A392,15
A366.,A390D G01XA+A394,15
A36y.,A398,1
A36y0,A398D H481A,7
A36y1,A398D M010A,7
A36yz,A398,1
A36z.,A399,1
A37..,A35X,1
A370.,A34X,1
A38..,A40-A41,2
A380.,A409,1
A3800,A400,1
A3801,A401,1
A3802,A402,1
A3803,A403,1
A3804,A408,1
A3805,A408+U830,15
A381.,A412,1
A3810,A410,1
A3811,A411,1
A382.,A403,1
A383.,A414,1
A3830,A414+J038,15
A384.,A415,1
A3840,A415,1
A3841,A413,1
A3842,A415,1
A3843,A415,1
A3844,A415,1
A384z,A415,1
A38y.,A418,1
A38z.,A419,1
A39..,A42,1
A390.,A428,1
A391.,A420,1
A392.,A421,1
A3921,A421,1
A3922,A421,1
A393.,A422,1
A394.,B479,1
A395.,A427,1
A396.,A427,1
A39y.,A428,1
A39y0,A430D,8
A39y1,A431,1
A39z.,A429,1
A39z0,B470,1
A39z1,A439,1
A39zz,A429,1
A3A..,A480-A488,2
A3A0.,A480,1
A3A00,A480,1
A3A01,A480,1
A3A02,A480,1
A3A03,A480,1
A3A04,A480,1
A3A05,A480,1
A3A06,A480,1
A3A07,A480,1
A3A08,A480,1
A3A09,A480,1
A3A0A,A480,1
A3A0B,A480,1
A3A0C,A480,1
A3A0D,A480,1
A3A0E,A480,1
A3A0F,A480,1
A3A0z,A480,1
A3A1.,A488,1
A3A2.,K908D M148A,7
A3A3.,A488,1
A3A4.,A481,1
A3A40,A482,1
A3A5.,A484,1
A3A6.,M726,1
A3Ay.,A488,1
A3Ay0,M600,1
A3Ay1,A483,1
A3Ay2,A047,1
A3Ayz,A488,1
A3B..,B95-B98,2
A3B0.,A491,1
A3B00,A491,1
A3B01,A491,1
A3B1.,A490,1
A3B11,A490+U821,15
A3B12,A490,1
A3B2.,A491,1
A3B3.,A498,1
A3B4.,A498,1
A3B5.,A492,1
A3B6.,A498,1
A3B60,A498,1
A3B61,A498,1
A3B6z,A498,1
A3B7.,A498,1
A3B8.,U820,1
A3B80,U820,1
A3B81,U821,1
A3B8y,U838,1
A3B9.,"U830,U831",3
A3B90,U830,1
A3B9y,U831,1
A3BA.,U837,1
A3BB.,U83,1
A3BBy,U838,1
A3BBz,U839,1
A3BC.,A498,1
A3BD.,A498,1
A3BE.,A491,1
A3BF.,U82,1
A3BF0,U822,1
A3BF1,U828,1
A3BF2,U829,1
A3BX1,B950,1
A3BX2,B951,1
A3BX3,B952,1
A3BX4,B953,1
A3BX5,B954,1
A3BX6,B955,1
A3BX7,B956,1
A3BX8,B957,1
A3BX9,B958,1
A3BXA,B960,1
A3BXB,B961,1
A3BXC,B962,1
A3BXD,B963,1
A3BXE,B964,1
A3BXF,B965,1
A3BXG,B966,1
A3BXH,B967,1
A3BXJ,B980,1
A3BXK,B956+U821,15
A3BXL,B981,1
A3By.,A498,1
A3By0,A498,1
A3By1,A498,1
A3By2,A498,1
A3By3,A493,1
A3By4,A498,1
A3By5,A498,1
A3By6,A498,1
A3By7,A498,1
A3By8,A498,1
A3Byz,A498,1
A3Bz.,A499,1
A3C..,A40-A41,2
A3C0.,A40,1
A3C00,A400,1
A3C01,A401,1
A3C02,A402,1
A3C03,A403,1
A3C0y,A408,1
A3C0z,A409,1
A3C1.,A412,1
A3C10,A410,1
A3C1y,A411,1
A3C1z,A412,1
A3C2.,A414,1
A3C3.,A415,1
A3C30,A413,1
A3C3y,A415,1
A3Cy.,A418,1
A3Cz.,A419,1
A3y..,A499,1
A3z..,A30-A49,2
A4...,A80-A89X,2
A40..,A800-A809,2
A400.,A803,1
A401.,A803,1
A402.,A804,1
A403.,A803,1
A4030,A800,1
A4031,A801,1
A4032,A802,1
A40z.,A809,1
A41..,A810-A819,2
A410.,A818,1
A411.,A810,1
A4110,A810,1
A412.,A811,1
A413.,A812,1
A41y.,A818,1
A41z.,A819,1
A42..,A870D G020A,7
A420.,A870D G020A,7
A421.,A870D G020A,7
A42y.,A878,1
A42z.,A879,1
A4y..,A888,1
A4y0.,A850D,8
A4y1.,A880,1
A4z..,A888,1
A4z0.,A872D,8
A4z1.,A871D G020A,7
A4zy.,A85,1
A4zy0,A858,1
A4zy1,A858,1
A4zy2,A86X,1
A4zy3,A858,1
A4zy4,A858,1
A4zy5,A851D,8
A4zyz,A888,1
A4zz.,A89X,1
A5...,B00-B09X,2
A50..,B03X,1
A500.,B03X,1
A501.,B03X,1
A502.,B03X,1
A50z.,B03X,1
A51..,B080,1
A510.,B080,1
A511.,B080,1
A512.,B080,1
A51z.,B080,1
A52..,B019,1
A520.,B011D G051A,7
A521.,B012D J171A,7
A52x.,B018,1
A52y.,B018,1
A52z.,B019,1
A53..,B029,1
A530.,B021D G020A,7
A531.,B022D,8
A5310,B022D,8
A5311,B022D G530A,7
A5312,B022D G530A,7
A5313,B022D G630A,7
A5314,B020D,8
A5315,B022D G530A,7
A531z,B022D,8
A532.,B023,1
A5320,B023D H031A,7
A5321,B023D H192A,7
A5322,B023D H220A,7
A5323,B023,1
A5324,B023D H588A,7
A532z,B023,1
A53x.,B028,1
A53x0,B028D H621A,7
A53x1,B027,1
A53xz,B028,1
A53y.,B028,1
A53z.,B029,1
A54..,B009,1
A540.,B000,1
A541.,A600,1
A5410,A600,1
A5411,A600D N771A,7
A5412,A600D N770A,7
A5413,A600D,8
A5414,A601,1
A5415,A609,1
A5416,A600,1
A5417,A600,1
A5418,A600,1
A5419,A600,1
A541z,A600,1
A542.,B002,1
A543.,B004D G051A,7
A544.,B005,1
A5440,B023,1
A5441,B005D H031A,7
A5442,B005D H191A,7
A5443,B005D H191A,7
A5444,B005D H220A,7
A5445,B005D H588A,7
A544z,B005,1
A545.,B007,1
A546.,B008D L998A,7
A548.,B001,1
A54x.,B008,1
A54x0,B008,1
A54x1,B003D G020A,7
A54x2,B001D H621A,7
A54x3,B001,1
A54x4,B008D J171A,7
A54xz,B008,1
A54y.,B008,1
A54z.,B009,1
A55..,B059,1
A550.,B050D G051A,7
A551.,B052D J171A,7
A552.,B053D H671A,7
A553.,B051D,8
A554.,B054,1
A55x.,B058,1
A55x0,B058D H192A,7
A55xz,B058,1
A55y.,B058,1
A55z.,B059,1
A56..,B069,1
A560.,B060D,8
A5600,B060D,8
A5601,B060D G051A,7
A5602,B060D H948A,7
A560z,B060D,8
A56x.,B068,1
A56x0,B068D M014A,7
A56xz,B068,1
A56y.,B068,1
A56z.,B069,1
A57..,B08,1
A570.,B083,1
A57y.,B088,1
A57y0,B082,1
A57y1,B082,1
A57y2,B088,1
A57y3,B088,1
A57y4,B088,1
A57y5,B04X,1
A57yz,B088,1
A57z.,B088,1
A5y..,B088,1
A5z..,B09X,1
A6...,A92-A99X,2
A60..,A950-A959,2
A600.,A950,1
A601.,A951,1
A60z.,A959,1
A61..,A971,1
A610.,A970,1
A611.,A971,1
A612.,A972,1
A62..,A830-A839,2
