read_code,icd9_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
13D3.,V600,G,C,C,0,0
13H8.,V616,G,C,C,0,0
13K3.,V602,G,C,C,0,0
13M3.,7980,G,C,C,0,0
1512.,6272,D,C,C,0,0
1512.,6274,A,C,C,0,0
1512.,2563,R,C,C,0,0
1512.,2961,R,C,C,0,0
1512.,2972,R,C,C,0,0
1512.,2988,R,C,C,0,0
1512.,7163,R,P,C,0,0
151G.,6262,D,C,C,0,0
151G.,6263,A,C,C,0,0
151G.,6270,R,C,C,0,0
1624.,7831,G,C,C,0,0
1632.,7833,G,C,C,0,0
1633.,7833,G,C,C,0,0
1682.,7807,D,C,C,0,0
1682.,3005,R,C,C,0,0
1682.,3008,R,C,C,0,0
1682.,308,R,M,C,0,0
1682.,4289,R,C,C,0,0
1682.,6468,R,C,C,0,0
1682.,7298,R,C,C,0,0
1682.,7844,R,C,C,0,0
1682.,797,R,C,C,0,0
1682.,9926,R,C,P,0,0
16B..,7827,D,C,C,0,0
16B..,7726,R,C,C,0,0
16B2.,7827,G,C,C,0,0
16B3.,7827,D,C,C,0,0
16B3.,287,R,M,C,0,0
16B3.,7726,R,C,C,0,0
16BZ.,7827,D,C,C,0,0
16BZ.,7726,R,C,C,0,0
16C..,7245,D,P,C,0,0
16C..,7241,A,P,C,0,0
16C..,7242,A,P,C,0,0
16C..,3078,R,C,C,0,0
16C3.,7245,D,P,C,0,0
16C3.,7241,A,P,C,0,0
16C3.,7242,A,P,C,0,0
16C4.,7245,D,P,C,0,0
16C4.,7241,A,P,C,0,0
16C4.,7242,A,P,C,0,0
16C6.,7245,D,P,C,0,0
16C6.,7241,A,P,C,0,0
16C6.,7242,A,P,C,0,0
16C6.,3078,R,C,C,0,0
16CZ.,7245,D,P,C,0,0
16CZ.,724,A,M,C,0,0
16CZ.,3078,R,P,C,0,0
1717.,7862,G,C,C,0,0
1736.,7860,G,C,C,0,0
173A.,4939,D,C,C,0,0
173A.,4930,A,C,C,0,0
173A.,4931,A,C,C,0,0
173B.,7863,D,C,C,0,0
173B.,3061,R,C,C,0,0
173B.,493,R,M,C,0,0
1752.,7849,G,C,C,0,0
176..,460,D,C,C,0,0
176..,0900,R,C,C,0,0
176..,095,R,C,C,0,0
176..,3720,R,C,C,0,0
176..,3721,R,C,C,0,0
176..,3810,R,C,C,0,0
176..,3811,R,C,C,0,0
176..,3814,R,C,C,0,0
176..,3815,R,C,C,0,0
176..,462,R,C,C,0,0
176..,4660,R,C,C,0,0
176..,4720,R,C,C,0,0
176..,4721,R,C,C,0,0
176..,4722,R,C,C,0,0
176..,4760,R,C,C,0,0
176..,477,R,M,C,0,0
176..,4871,R,C,C,0,0
176..,490,R,C,C,0,0
176..,4939,R,C,C,0,0
181Z.,7851,D,C,C,0,0
181Z.,3062,R,C,C,0,0
181Z.,427,R,M,C,0,0
182..,7865,D,C,C,0,0
182..,7299,R,P,C,0,0
1823.,7865,G,C,C,0,0
1824.,7865,G,C,C,0,0
1825.,7865,G,C,C,0,0
1826.,7865,G,C,C,0,0
1927.,5277,G,C,C,0,0
1953.,7871,D,C,C,0,0
1953.,5368,R,C,C,0,0
1955.,7871,D,C,C,0,0
1955.,5368,R,C,C,0,0
1962.,7890,D,C,C,0,0
1962.,3064,R,C,C,0,0
1966.,7890,G,C,C,0,0
1969.,7890,G,C,C,0,0
1972.,7890,G,C,C,0,0
1977.,7890,G,C,C,0,0
1978.,7890,G,C,C,0,0
1979.,7890,G,C,C,0,0
198..,7870,D,C,C,0,0
198..,0788,R,C,C,0,0
198..,6430,R,C,C,0,0
198..,9946,R,C,P,0,0
19A..,7873,G,C,C,0,0
19EA.,7879,D,C,C,0,0
19EA.,5640,R,C,C,0,0
19F2.,558,D,C,C,0,0
19F2.,007,R,M,C,0,0
19F2.,008,R,M,C,0,0
19F2.,009,R,M,C,0,0
19F2.,3064,R,C,C,0,0
19F2.,5645,R,C,C,0,0
19F3.,7876,G,C,C,0,0
1A12.,7884,D,C,C,0,0
1A12.,3065,R,C,C,0,0
1A13.,7884,D,C,C,0,0
1A13.,3065,R,C,C,0,0
1A22.,7883,D,C,C,0,0
1A22.,3076,R,C,C,0,0
1A23.,7883,D,C,C,0,0
1A23.,3076,R,C,C,0,0
1A23.,6256,R,C,C,0,0
1A26.,7883,G,C,C,0,0
