"ST1. Nomenclature of 2,925 proteins analyzed in the Interval and LonGenity cohorts. Corresponding external identifiers were provided by Somalogic.",,,,,,,,,,
,,,,,,,,,,
ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units
CRYBB2.10000.28.3,10000.28,3,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,RFU
ELK1.10006.25.3,10006.25,3,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,RFU
GUCA1A.10008.43.3,10008.43,3,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,RFU
OCRL.10011.65.3,10011.65,3,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,RFU
KIAA0319.10013.34.3,10013.34,3,SL019201,Dyslexia-associated protein KIAA0319,K0319,Q5VV43,9856,KIAA0319,Human,RFU
SNAI2.10014.31.3,10014.31,3,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,RFU
KCNAB2.10015.119.3,10015.119,3,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,RFU
SUSD2.10021.1.3,10021.1,3,SL008577,Sushi domain-containing protein 2,SUSD2,Q9UGT4,56241,SUSD2,Human,RFU
POLH.10022.207.3,10022.207,3,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,RFU
HOGA1.10024.44.3,10024.44,3,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,RFU
MUTYH.10030.8.3,10030.8,3,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,RFU
FRK.10034.16.3,10034.16,3,SL019241,Tyrosine-protein kinase FRK,FRK,P42685,2444,FRK,Human,RFU
DUSP4.10035.6.3,10035.6,3,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,RFU
ZHX3.10036.201.3,10036.201,3,SL019252,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,Human,RFU
SIGLEC12.10037.98.3,10037.98,3,SL018490,Sialic acid-binding Ig-like lectin 12,SIG12,Q96PQ1,89858,SIGLEC12,Human,RFU
TP63.10040.63.3,10040.63,3,SL007662,Tumor protein 63,P73L,Q9H3D4,8626,TP63,Human,RFU
